Algorithm,Alpha,Attack Type,Parameter,RecovBER
DCT(L),0,No Attack,0,0.4375
DCT(L),0,Crop 50%,0.5,0.4375
DCT(L),0,Crop 70%,0.7,0.4375
DCT(L),0,Resize 50%,0.5,0.4375
DCT(L),0,Salt&Pepper 1%,0.01,0.4375
DCT(L),0,Salt&Pepper 5%,0.05,0.4375
DCT(L),0,Quantize (32 levels),32,0.4375
DCT(L),0,Gamma 0.8,0.8,0.4375
DCT(L),0,Brightness +0.2,0.2,0.4375
DCT(L),0,Rotation 1 deg,1,0.4375
DCT(L),0,Rotation 5 deg,5,0.4375
DCT(L),0,Rotation 45 deg,45,0.4375
DWT(L),0,No Attack,0,0.4375
DWT(L),0,Crop 50%,0.5,0.4375
DWT(L),0,Crop 70%,0.7,0.4375
DWT(L),0,Resize 50%,0.5,0.4375
DWT(L),0,Salt&Pepper 1%,0.01,0.4375
DWT(L),0,Salt&Pepper 5%,0.05,0.4375
DWT(L),0,Quantize (32 levels),32,0.4375
DWT(L),0,Gamma 0.8,0.8,0.4375
DWT(L),0,Brightness +0.2,0.2,0.4375
DWT(L),0,Rotation 1 deg,1,0.4375
DWT(L),0,Rotation 5 deg,5,0.4375
DWT(L),0,Rotation 45 deg,45,0.4375
SVD(S),0,No Attack,0,0.4375
SVD(S),0,Crop 50%,0.5,0.5625
SVD(S),0,Crop 70%,0.7,0.5625
SVD(S),0,Resize 50%,0.5,0.5625
SVD(S),0,Salt&Pepper 1%,0.01,0.4375
SVD(S),0,Salt&Pepper 5%,0.05,0.4375
SVD(S),0,Quantize (32 levels),32,0.5625
SVD(S),0,Gamma 0.8,0.8,0.5625
SVD(S),0,Brightness +0.2,0.2,0.4375
SVD(S),0,Rotation 1 deg,1,0.515625
SVD(S),0,Rotation 5 deg,5,0.578125
SVD(S),0,Rotation 45 deg,45,0.5625
SVD(I),0,No Attack,0,0.4375
SVD(I),0,Crop 50%,0.5,0.5625
SVD(I),0,Crop 70%,0.7,0.5625
SVD(I),0,Resize 50%,0.5,0.5625
SVD(I),0,Salt&Pepper 1%,0.01,0.4375
SVD(I),0,Salt&Pepper 5%,0.05,0.4375
SVD(I),0,Quantize (32 levels),32,0.5625
SVD(I),0,Gamma 0.8,0.8,0.5625
SVD(I),0,Brightness +0.2,0.2,0.4375
SVD(I),0,Rotation 1 deg,1,0.515625
SVD(I),0,Rotation 5 deg,5,0.578125
SVD(I),0,Rotation 45 deg,45,0.5625
DFT(L),0,No Attack,0,0.5625
DFT(L),0,Crop 50%,0.5,0.5625
DFT(L),0,Crop 70%,0.7,0.5625
DFT(L),0,Resize 50%,0.5,0.5625
DFT(L),0,Salt&Pepper 1%,0.01,0.5625
DFT(L),0,Salt&Pepper 5%,0.05,0.5625
DFT(L),0,Quantize (32 levels),32,0.5625
DFT(L),0,Gamma 0.8,0.8,0.5625
DFT(L),0,Brightness +0.2,0.2,0.5625
DFT(L),0,Rotation 1 deg,1,0.5625
DFT(L),0,Rotation 5 deg,5,0.5625
DFT(L),0,Rotation 45 deg,45,0.5625
DCT(O),0,No Attack,0,0.640625
DCT(O),0,Crop 50%,0.5,0.53125
DCT(O),0,Crop 70%,0.7,0.546875
DCT(O),0,Resize 50%,0.5,0.515625
DCT(O),0,Salt&Pepper 1%,0.01,0.5625
DCT(O),0,Salt&Pepper 5%,0.05,0.578125
DCT(O),0,Quantize (32 levels),32,0.4375
DCT(O),0,Gamma 0.8,0.8,0.515625
DCT(O),0,Brightness +0.2,0.2,0.609375
DCT(O),0,Rotation 1 deg,1,0.578125
DCT(O),0,Rotation 5 deg,5,0.5625
DCT(O),0,Rotation 45 deg,45,0.625
DWT(O),0,No Attack,0,0.4375
DWT(O),0,Crop 50%,0.5,0.5625
DWT(O),0,Crop 70%,0.7,0.5625
DWT(O),0,Resize 50%,0.5,0.515625
DWT(O),0,Salt&Pepper 1%,0.01,0.4375
DWT(O),0,Salt&Pepper 5%,0.05,0.4375
DWT(O),0,Quantize (32 levels),32,0.546875
DWT(O),0,Gamma 0.8,0.8,0.4375
DWT(O),0,Brightness +0.2,0.2,0.4375
DWT(O),0,Rotation 1 deg,1,0.5625
DWT(O),0,Rotation 5 deg,5,0.5625
DWT(O),0,Rotation 45 deg,45,0.5625
DFT(O),0,No Attack,0,0.4375
DFT(O),0,Crop 50%,0.5,0.5625
DFT(O),0,Crop 70%,0.7,0.5625
DFT(O),0,Resize 50%,0.5,0.5625
DFT(O),0,Salt&Pepper 1%,0.01,0.4375
DFT(O),0,Salt&Pepper 5%,0.05,0.4375
DFT(O),0,Quantize (32 levels),32,0.453125
DFT(O),0,Gamma 0.8,0.8,0.4375
DFT(O),0,Brightness +0.2,0.2,0.484375
DFT(O),0,Rotation 1 deg,1,0.609375
DFT(O),0,Rotation 5 deg,5,0.4375
DFT(O),0,Rotation 45 deg,45,0.4375
DCT(L),0.02,No Attack,0,0.015625
DCT(L),0.02,Crop 50%,0.5,0.09375
DCT(L),0.02,Crop 70%,0.7,0.046875
DCT(L),0.02,Resize 50%,0.5,0.4375
DCT(L),0.02,Salt&Pepper 1%,0.01,0.4375
DCT(L),0.02,Salt&Pepper 5%,0.05,0.4375
DCT(L),0.02,Quantize (32 levels),32,0.4375
DCT(L),0.02,Gamma 0.8,0.8,0.4375
DCT(L),0.02,Brightness +0.2,0.2,0.015625
DCT(L),0.02,Rotation 1 deg,1,0.4375
DCT(L),0.02,Rotation 5 deg,5,0.4375
DCT(L),0.02,Rotation 45 deg,45,0.4375
DWT(L),0.02,No Attack,0,0.0625
DWT(L),0.02,Crop 50%,0.5,0.4375
DWT(L),0.02,Crop 70%,0.7,0.375
DWT(L),0.02,Resize 50%,0.5,0.4375
DWT(L),0.02,Salt&Pepper 1%,0.01,0.140625
DWT(L),0.02,Salt&Pepper 5%,0.05,0.34375
DWT(L),0.02,Quantize (32 levels),32,0.4375
DWT(L),0.02,Gamma 0.8,0.8,0.40625
DWT(L),0.02,Brightness +0.2,0.2,0.046875
DWT(L),0.02,Rotation 1 deg,1,0.4375
DWT(L),0.02,Rotation 5 deg,5,0.4375
DWT(L),0.02,Rotation 45 deg,45,0.4375
SVD(S),0.02,No Attack,0,0
SVD(S),0.02,Crop 50%,0.5,0.5625
SVD(S),0.02,Crop 70%,0.7,0.234375
SVD(S),0.02,Resize 50%,0.5,0.5625
SVD(S),0.02,Salt&Pepper 1%,0.01,0
SVD(S),0.02,Salt&Pepper 5%,0.05,0
SVD(S),0.02,Quantize (32 levels),32,0.5625
SVD(S),0.02,Gamma 0.8,0.8,0.5625
SVD(S),0.02,Brightness +0.2,0.2,0.4375
SVD(S),0.02,Rotation 1 deg,1,0.53125
SVD(S),0.02,Rotation 5 deg,5,0.578125
SVD(S),0.02,Rotation 45 deg,45,0.5625
SVD(I),0.02,No Attack,0,0
SVD(I),0.02,Crop 50%,0.5,0.5625
SVD(I),0.02,Crop 70%,0.7,0.234375
SVD(I),0.02,Resize 50%,0.5,0.5625
SVD(I),0.02,Salt&Pepper 1%,0.01,0
SVD(I),0.02,Salt&Pepper 5%,0.05,0
SVD(I),0.02,Quantize (32 levels),32,0.5625
SVD(I),0.02,Gamma 0.8,0.8,0.5625
SVD(I),0.02,Brightness +0.2,0.2,0.4375
SVD(I),0.02,Rotation 1 deg,1,0.53125
SVD(I),0.02,Rotation 5 deg,5,0.578125
SVD(I),0.02,Rotation 45 deg,45,0.5625
DFT(L),0.02,No Attack,0,0.5625
DFT(L),0.02,Crop 50%,0.5,0.5625
DFT(L),0.02,Crop 70%,0.7,0.5625
DFT(L),0.02,Resize 50%,0.5,0.5625
DFT(L),0.02,Salt&Pepper 1%,0.01,0.5625
DFT(L),0.02,Salt&Pepper 5%,0.05,0.5625
DFT(L),0.02,Quantize (32 levels),32,0.5625
DFT(L),0.02,Gamma 0.8,0.8,0.5625
DFT(L),0.02,Brightness +0.2,0.2,0.5625
DFT(L),0.02,Rotation 1 deg,1,0.5625
DFT(L),0.02,Rotation 5 deg,5,0.5625
DFT(L),0.02,Rotation 45 deg,45,0.5625
DCT(O),0.02,No Attack,0,0
DCT(O),0.02,Crop 50%,0.5,0
DCT(O),0.02,Crop 70%,0.7,0
DCT(O),0.02,Resize 50%,0.5,0.515625
DCT(O),0.02,Salt&Pepper 1%,0.01,0
DCT(O),0.02,Salt&Pepper 5%,0.05,0
DCT(O),0.02,Quantize (32 levels),32,0
DCT(O),0.02,Gamma 0.8,0.8,0
DCT(O),0.02,Brightness +0.2,0.2,0
DCT(O),0.02,Rotation 1 deg,1,0.515625
DCT(O),0.02,Rotation 5 deg,5,0.5
