Iteration,Algorithm,Resolution,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
1,DCT (Legacy),FHD,0,0.909856,52.1142,73.8532,0.999984
1,DCT (Legacy),FHD,0.001,0.90096,41.1973,54.8431,0.998766
1,DCT (Legacy),FHD,0.002,0.905568,40.795,49.811,0.996103
1,DCT (Legacy),FHD,0.003,0.899072,41.6459,46.5099,0.991697
2,DCT (Legacy),FHD,0.004,0.910688,41.7775,44.1184,0.985673
2,DCT (Legacy),FHD,0.005,0.901184,40.7779,42.2292,0.977998
2,DCT (Legacy),FHD,0.006,0.907264,40.0075,40.679,0.968771
2,DCT (Legacy),FHD,0.007,0.901248,41.3826,39.3633,0.958081
3,DCT (Legacy),FHD,0.008,0.90304,41.0886,38.2205,0.945997
3,DCT (Legacy),FHD,0.009,0.894976,40.3209,37.2096,0.932603
3,DCT (Legacy),FHD,0.01,0.909248,40.479,36.3044,0.918019
3,DCT (Legacy),FHD,0.011,0.895104,40.7786,35.4848,0.902378
4,DCT (Legacy),FHD,0.012,0.894176,40.9113,34.7363,0.885769
4,DCT (Legacy),FHD,0.013,0.902752,41.1899,34.0466,0.868381
4,DCT (Legacy),FHD,0.014,0.929248,42.4928,33.4085,0.850363
4,DCT (Legacy),FHD,0.015,0.928128,41.735,32.8144,0.831829
5,DCT (Legacy),FHD,0.016,0.913408,41.0989,32.2573,0.812921
5,DCT (Legacy),FHD,0.017,0.897376,42.9165,31.7348,0.793741
5,DCT (Legacy),FHD,0.018,0.941376,42.8349,31.2425,0.774476
5,DCT (Legacy),FHD,0.019,0.931904,42.6232,30.7769,0.755175
6,DCT (Legacy),FHD,0.02,0.894976,42.8632,30.3359,0.735999
6,DCT (Legacy),FHD,0.021,0.933632,42.3703,29.9166,0.716971
6,DCT (Legacy),FHD,0.022,0.912128,43.4334,29.517,0.698197
6,DCT (Legacy),FHD,0.023,0.897024,48.9365,29.1351,0.679748
7,DCT (Legacy),FHD,0.024,0.907072,44.1543,28.7707,0.661664
7,DCT (Legacy),FHD,0.025,0.904096,44.7508,28.4217,0.643996
7,DCT (Legacy),FHD,0.026,0.927744,42.9193,28.0863,0.626763
7,DCT (Legacy),FHD,0.027,0.935712,43.2795,27.7638,0.609959
8,DCT (Legacy),FHD,0.028,0.892928,43.4312,27.4542,0.593701
8,DCT (Legacy),FHD,0.029,0.891168,41.7933,27.1556,0.577961
8,DCT (Legacy),FHD,0.03,0.903168,41.3548,26.8675,0.562671
8,DCT (Legacy),FHD,0.031,0.903168,41.7415,26.5894,0.547872
9,DCT (Legacy),FHD,0.032,0.941184,48.5458,26.3206,0.533576
9,DCT (Legacy),FHD,0.033,0.923648,49.8406,26.0612,0.519793
9,DCT (Legacy),FHD,0.034,0.896032,44.9616,25.8092,0.506491
9,DCT (Legacy),FHD,0.035,0.913856,46.5812,25.5658,0.493691
10,DCT (Legacy),FHD,0.036,0.89888,48.8887,25.3299,0.48138
10,DCT (Legacy),FHD,0.037,0.907264,48.6858,25.1007,0.469506
10,DCT (Legacy),FHD,0.038,0.898528,47.3957,24.8785,0.458087
10,DCT (Legacy),FHD,0.039,1.11379,44.8062,24.6624,0.447096
11,DCT (Legacy),FHD,0.04,1.09651,44.4119,24.4527,0.436531
11,DCT (Legacy),FHD,0.041,1.09859,45.1306,24.2484,0.426351
11,DCT (Legacy),FHD,0.042,1.09635,53.3581,24.0499,0.416557
11,DCT (Legacy),FHD,0.043,1.67936,52.5014,23.857,0.407122
12,DCT (Legacy),FHD,0.044,1.09734,54.7404,23.6691,0.39807
12,DCT (Legacy),FHD,0.045,1.12435,51.9939,23.4856,0.389327
12,DCT (Legacy),FHD,0.046,1.10342,50.7826,23.3072,0.380923
12,DCT (Legacy),FHD,0.047,1.09978,52.3014,23.133,0.37281
13,DCT (Legacy),FHD,0.048,1.09754,51.6007,22.9631,0.365003
13,DCT (Legacy),FHD,0.049,1.09773,50.346,22.7972,0.357464
13,DCT (Legacy),FHD,0.05,1.10163,43.082,22.6351,0.350178
13,DCT (Legacy),FHD,0.051,1.09738,46.247,22.4774,0.343164
14,DCT (Legacy),FHD,0.052,1.09568,51.8569,22.3227,0.336385
14,DCT (Legacy),FHD,0.053,1.09568,48.644,22.1719,0.329839
14,DCT (Legacy),FHD,0.054,1.09821,52.8367,22.0245,0.323527
14,DCT (Legacy),FHD,0.055,1.0992,53.6188,21.8802,0.31742
15,DCT (Legacy),FHD,0.056,1.09453,50.5642,21.7392,0.31152
15,DCT (Legacy),FHD,0.057,1.09728,46.302,21.601,0.305802
15,DCT (Legacy),FHD,0.058,1.09853,49.737,21.4659,0.300272
15,DCT (Legacy),FHD,0.059,1.09722,51.6894,21.3336,0.29492
16,DCT (Legacy),FHD,0.06,1.94486,49.3177,21.2041,0.289725
16,DCT (Legacy),FHD,0.061,1.09555,47.9111,21.0776,0.284711
16,DCT (Legacy),FHD,0.062,1.09766,53.6065,20.9536,0.279838
16,DCT (Legacy),FHD,0.0629999,1.09715,49.7393,20.8318,0.275104
17,DCT (Legacy),FHD,0.064,1.09731,43.8202,20.7125,0.270515
17,DCT (Legacy),FHD,0.065,1.61552,43.1501,20.5954,0.266063
17,DCT (Legacy),FHD,0.066,1.06755,41.3417,20.481,0.261755
17,DCT (Legacy),FHD,0.067,1.0663,45.4449,20.3684,0.257557
18,DCT (Legacy),FHD,0.068,1.06666,45.4994,20.2579,0.253483
18,DCT (Legacy),FHD,0.069,1.06701,43.6743,20.1499,0.249527
18,DCT (Legacy),FHD,0.07,1.0712,43.4809,20.0435,0.245676
18,DCT (Legacy),FHD,0.071,1.06774,45.0096,19.9394,0.24193
19,DCT (Legacy),FHD,0.072,1.06637,43.4998,19.8374,0.238297
19,DCT (Legacy),FHD,0.073,1.06774,47.3248,19.7374,0.23477
19,DCT (Legacy),FHD,0.074,1.06822,44.3687,19.6391,0.23133
19,DCT (Legacy),FHD,0.075,1.07027,45.1038,19.5423,0.227966
20,DCT (Legacy),FHD,0.076,1.06906,71.0137,19.4476,0.224712
20,DCT (Legacy),FHD,0.077,1.06762,75.6107,19.3545,0.221535
20,DCT (Legacy),FHD,0.078,1.0664,48.058,19.2629,0.218437
20,DCT (Legacy),FHD,0.079,1.06682,42.6526,19.173,0.215409
21,DCT (Legacy),FHD,0.08,1.06941,50.5991,19.0846,0.212467
21,DCT (Legacy),FHD,0.081,1.06813,46.0359,18.9977,0.209602
21,DCT (Legacy),FHD,0.082,1.06749,45.6793,18.9122,0.206792
21,DCT (Legacy),FHD,0.083,1.06739,43.4872,18.8282,0.204045
22,DCT (Legacy),FHD,0.084,1.06723,45.5395,18.7459,0.201367
22,DCT (Legacy),FHD,0.085,1.07104,45.2234,18.6648,0.198752
22,DCT (Legacy),FHD,0.086,1.06678,45.2239,18.5851,0.196204
22,DCT (Legacy),FHD,0.087,1.08957,49.1996,18.5066,0.193708
23,DCT (Legacy),FHD,0.088,1.06752,48.6658,18.4295,0.191274
23,DCT (Legacy),FHD,0.089,1.06701,45.7933,18.3535,0.188886
23,DCT (Legacy),FHD,0.09,1.06912,47.9164,18.2788,0.186549
23,DCT (Legacy),FHD,0.091,1.0689,46.2384,18.2052,0.184273
24,DCT (Legacy),FHD,0.092,1.06701,46.3669,18.133,0.182048
24,DCT (Legacy),FHD,0.093,1.06755,44.9047,18.0617,0.179878
24,DCT (Legacy),FHD,0.094,1.06906,43.0465,17.9914,0.177744
24,DCT (Legacy),FHD,0.095,1.07165,43.1851,17.9226,0.175663
25,DCT (Legacy),FHD,0.096,1.06688,42.9116,17.8547,0.173633
25,DCT (Legacy),FHD,0.097,1.06714,43.3712,17.788,0.171645
25,DCT (Legacy),FHD,0.098,1.06771,47.1007,17.7221,0.169684
25,DCT (Legacy),FHD,0.099,1.06496,42.359,17.6575,0.16777
26,DCT (Legacy),FHD,0.1,2.48006,43.5469,17.5937,0.16589
26,DCT (Legacy),FHD,0.101,1.06749,42.0825,17.5308,0.164049
26,DCT (Legacy),FHD,0.102,1.06819,43.4766,17.4689,0.162248
26,DCT (Legacy),FHD,0.103,1.06822,43.989,17.408,0.160492
27,DCT (Legacy),FHD,0.104,1.06794,49.7323,17.3478,0.158757
27,DCT (Legacy),FHD,0.105,1.07024,43.1771,17.2888,0.157069
27,DCT (Legacy),FHD,0.106,1.06723,42.5005,17.2305,0.15541
27,DCT (Legacy),FHD,0.107,1.06909,45.7719,17.173,0.153783
28,DCT (Legacy),FHD,0.108,1.06701,43.7835,17.1163,0.152179
28,DCT (Legacy),FHD,0.109,1.06698,43.4985,17.0604,0.150615
28,DCT (Legacy),FHD,0.11,1.0671,44.4218,17.0055,0.149073
28,DCT (Legacy),FHD,0.111,1.06906,44.353,16.9511,0.147562
29,DCT (Legacy),FHD,0.112,1.06701,43.4372,16.8976,0.146075
29,DCT (Legacy),FHD,0.113,1.08803,43.302,16.8448,0.144622
29,DCT (Legacy),FHD,0.114,1.06531,42.4416,16.7929,0.143199
29,DCT (Legacy),FHD,0.115,1.06906,45.9083,16.7417,0.141796
30,DCT (Legacy),FHD,0.116,1.06906,47.3726,16.691,0.140425
30,DCT (Legacy),FHD,0.117,1.06906,46.3364,16.6412,0.139076
30,DCT (Legacy),FHD,0.118,1.06707,46.4912,16.5922,0.137753
30,DCT (Legacy),FHD,0.119,1.06771,43.6771,16.5437,0.136448
31,DCT (Legacy),FHD,0.12,1.07027,42.3366,16.496,0.135172
31,DCT (Legacy),FHD,0.121,1.08397,43.4854,16.449,0.133916
31,DCT (Legacy),FHD,0.122,1.06589,44.7992,16.4024,0.132683
31,DCT (Legacy),FHD,0.123,1.06736,42.3084,16.3567,0.131473
32,DCT (Legacy),FHD,0.124,1.0681,43.1405,16.3115,0.130285
32,DCT (Legacy),FHD,0.125,1.06979,42.7984,16.267,0.129113
32,DCT (Legacy),FHD,0.126,1.06816,44.3835,16.223,0.127976
32,DCT (Legacy),FHD,0.127,1.06707,44.65,16.1796,0.126845
33,DCT (Legacy),FHD,0.128,1.06835,44.4671,16.137,0.125739
33,DCT (Legacy),FHD,0.129,1.06813,49.5017,16.0948,0.124654
33,DCT (Legacy),FHD,0.13,1.06854,52.5426,16.053,0.123585
33,DCT (Legacy),FHD,0.131,1.06502,43.8427,16.012,0.12254
34,DCT (Legacy),FHD,0.132,1.06883,52.0837,15.9716,0.121514
34,DCT (Legacy),FHD,0.133,1.9024,52.8272,15.9316,0.120495
34,DCT (Legacy),FHD,0.134,1.06861,50.8259,15.8922,0.119503
34,DCT (Legacy),FHD,0.135,1.07085,56.1824,15.8533,0.118527
35,DCT (Legacy),FHD,0.136,1.06851,46.1697,15.815,0.117564
35,DCT (Legacy),FHD,0.137,1.06637,46.6007,15.7772,0.116619
35,DCT (Legacy),FHD,0.138,1.0673,49.3591,15.7399,0.115694
35,DCT (Legacy),FHD,0.139,1.0656,49.323,15.7031,0.114774
36,DCT (Legacy),FHD,0.14,1.06963,50.7709,15.6668,0.113874
36,DCT (Legacy),FHD,0.141,1.06806,60.2365,15.6311,0.112986
36,DCT (Legacy),FHD,0.142,1.06781,47.0932,15.5956,0.112115
36,DCT (Legacy),FHD,0.143,1.06826,46.6818,15.5607,0.111257
37,DCT (Legacy),FHD,0.144,1.06701,54.266,15.5265,0.110415
37,DCT (Legacy),FHD,0.145,1.06842,52.5323,15.4925,0.109585
37,DCT (Legacy),FHD,0.146,1.06826,45.8501,15.459,0.108768
37,DCT (Legacy),FHD,0.147,1.06701,41.7693,15.4261,0.107964
38,DCT (Legacy),FHD,0.148,1.06723,44.7579,15.3934,0.107172
38,DCT (Legacy),FHD,0.149,2.4879,44.8481,15.3613,0.106388
38,DCT (Legacy),FHD,0.15,1.0704,45.2415,15.3294,0.105621
38,DCT (Legacy),FHD,0.151,1.06739,43.5361,15.2982,0.104872
39,DCT (Legacy),FHD,0.152,1.06864,43.4083,15.2672,0.104128
39,DCT (Legacy),FHD,0.153,1.9032,45.0324,15.2367,0.103401
39,DCT (Legacy),FHD,0.154,1.08765,44.0761,15.2065,0.102689
39,DCT (Legacy),FHD,0.155,1.06906,43.9765,15.1769,0.101986
40,DCT (Legacy),FHD,0.156,1.06694,42.3619,15.1475,0.101291
40,DCT (Legacy),FHD,0.157,1.06746,43.3825,15.1185,0.100605
40,DCT (Legacy),FHD,0.158,1.0671,42.8935,15.0899,0.099929
40,DCT (Legacy),FHD,0.159,1.08544,42.2947,15.0617,0.0992683
41,DCT (Legacy),FHD,0.16,1.06877,43.8123,15.0338,0.098617
41,DCT (Legacy),FHD,0.161,1.06906,42.1538,15.0061,0.0979675
