Iteration,Algorithm,Resolution,ALPHA,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
1,DCT (Legacy),FHD,0,0.90176,189.381,73.8532,0.999984
1,DCT (Legacy),FHD,0.001,0.925984,173.24,54.8431,0.998766
1,DCT (Legacy),FHD,0.002,0.907264,177.872,49.811,0.996103
1,DCT (Legacy),FHD,0.003,0.905152,166.487,46.5099,0.991697
2,DCT (Legacy),FHD,0.004,0.909312,167.449,44.1184,0.985673
2,DCT (Legacy),FHD,0.005,0.917504,169.061,42.2292,0.977998
2,DCT (Legacy),FHD,0.006,0.910944,183.757,40.679,0.968771
2,DCT (Legacy),FHD,0.007,0.89072,186.39,39.3633,0.958081
3,DCT (Legacy),FHD,0.008,0.909024,180.889,38.2205,0.945997
3,DCT (Legacy),FHD,0.009,0.937152,177.714,37.2096,0.932603
3,DCT (Legacy),FHD,0.01,1.072,172.639,36.3044,0.918019
3,DCT (Legacy),FHD,0.011,1.08374,173.167,35.4848,0.902378
4,DCT (Legacy),FHD,0.012,1.08138,167.423,34.7363,0.885769
4,DCT (Legacy),FHD,0.013,1.07706,170.663,34.0466,0.868381
4,DCT (Legacy),FHD,0.014,1.09133,170.395,33.4085,0.850363
4,DCT (Legacy),FHD,0.015,1.08339,165.509,32.8144,0.831829
5,DCT (Legacy),FHD,0.016,1.10589,168.117,32.2573,0.812921
5,DCT (Legacy),FHD,0.017,1.07926,177.928,31.7348,0.793741
5,DCT (Legacy),FHD,0.018,1.08339,170.594,31.2425,0.774476
5,DCT (Legacy),FHD,0.019,1.08134,166.214,30.7769,0.755175
6,DCT (Legacy),FHD,0.02,1.08278,169.673,30.3359,0.735999
6,DCT (Legacy),FHD,0.021,1.08125,167.596,29.9166,0.716971
6,DCT (Legacy),FHD,0.022,1.87312,179.371,29.517,0.698197
6,DCT (Legacy),FHD,0.023,1.0808,172.194,29.1351,0.679748
7,DCT (Legacy),FHD,0.024,1.08288,171.314,28.7707,0.661664
7,DCT (Legacy),FHD,0.025,1.07894,185.05,28.4217,0.643996
7,DCT (Legacy),FHD,0.026,1.9127,179.876,28.0863,0.626763
7,DCT (Legacy),FHD,0.027,1.07939,197.648,27.7638,0.609959
8,DCT (Legacy),FHD,0.028,1.08134,175.458,27.4542,0.593701
8,DCT (Legacy),FHD,0.029,1.08134,179.004,27.1556,0.577961
8,DCT (Legacy),FHD,0.03,1.0793,179.734,26.8675,0.562671
8,DCT (Legacy),FHD,0.031,1.08134,181.143,26.5894,0.547872
9,DCT (Legacy),FHD,0.032,1.08314,180.284,26.3206,0.533576
9,DCT (Legacy),FHD,0.033,1.08195,195.938,26.0612,0.519793
9,DCT (Legacy),FHD,0.034,1.0831,185.778,25.8092,0.506491
9,DCT (Legacy),FHD,0.035,1.10586,181.353,25.5658,0.493691
10,DCT (Legacy),FHD,0.036,1.08122,178.707,25.3299,0.48138
10,DCT (Legacy),FHD,0.037,1.07939,179.951,25.1007,0.469506
10,DCT (Legacy),FHD,0.038,1.08077,177.285,24.8785,0.458087
10,DCT (Legacy),FHD,0.039,1.92614,177.218,24.6624,0.447096
11,DCT (Legacy),FHD,0.04,1.07926,186.033,24.4527,0.436531
11,DCT (Legacy),FHD,0.041,1.08176,171.416,24.2484,0.426351
11,DCT (Legacy),FHD,0.042,1.08134,175.775,24.0499,0.416557
11,DCT (Legacy),FHD,0.043,1.08,184.084,23.857,0.407122
12,DCT (Legacy),FHD,0.044,1.08339,176.25,23.6691,0.39807
12,DCT (Legacy),FHD,0.045,1.07933,175.198,23.4856,0.389327
12,DCT (Legacy),FHD,0.046,1.08349,179.251,23.3072,0.380923
12,DCT (Legacy),FHD,0.047,1.08896,184.142,23.133,0.37281
13,DCT (Legacy),FHD,0.048,1.0799,181.357,22.9631,0.365003
13,DCT (Legacy),FHD,0.049,1.08458,175.8,22.7972,0.357464
13,DCT (Legacy),FHD,0.05,1.07891,173.923,22.6351,0.350178
13,DCT (Legacy),FHD,0.051,1.07936,177.908,22.4774,0.343164
14,DCT (Legacy),FHD,0.052,1.07955,170.27,22.3227,0.336385
14,DCT (Legacy),FHD,0.053,1.0793,175.385,22.1719,0.329839
14,DCT (Legacy),FHD,0.054,1.08125,176.742,22.0245,0.323527
14,DCT (Legacy),FHD,0.055,1.07968,177.169,21.8802,0.31742
15,DCT (Legacy),FHD,0.056,1.6751,171.711,21.7392,0.31152
15,DCT (Legacy),FHD,0.057,1.07946,172.035,21.601,0.305802
15,DCT (Legacy),FHD,0.058,1.0799,174.046,21.4659,0.300272
15,DCT (Legacy),FHD,0.059,1.09773,176.717,21.3336,0.29492
16,DCT (Legacy),FHD,0.06,1.0799,189.186,21.2041,0.289725
