Iteration,Algorithm,Resolution,Alpha,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM,BER
1,DCT (Legacy),FHD,0.000,0.942,2.019,73.853,1.000,0.497
2,DCT (Legacy),FHD,0.050,0.942,1.811,59.260,0.999,0.498
3,DCT (Legacy),FHD,0.100,0.955,2.232,56.228,0.999,0.498
4,DCT (Legacy),FHD,0.150,0.948,1.902,54.282,0.998,0.498
5,DCT (Legacy),FHD,0.200,0.947,1.857,52.608,0.996,0.498
6,DCT (Legacy),FHD,0.250,0.956,1.829,51.135,0.994,0.498
7,DCT (Legacy),FHD,0.300,0.946,1.794,49.837,0.992,0.498
8,DCT (Legacy),FHD,0.350,0.955,1.793,48.687,0.990,0.498
9,DCT (Legacy),FHD,0.400,0.942,1.790,47.657,0.987,0.498
10,DCT (Legacy),FHD,0.450,0.961,1.944,46.728,0.984,0.498
11,DCT (Legacy),FHD,0.500,0.984,2.300,45.883,0.980,0.498
12,DCT (Legacy),FHD,0.550,0.960,2.131,45.102,0.976,0.498
13,DCT (Legacy),FHD,0.600,0.960,2.317,44.384,0.972,0.498
14,DCT (Legacy),FHD,0.650,0.941,2.202,43.719,0.967,0.498
15,DCT (Legacy),FHD,0.700,0.948,2.173,43.099,0.962,0.498
16,DCT (Legacy),FHD,0.750,0.958,2.266,42.525,0.957,0.498
17,DCT (Legacy),FHD,0.800,0.968,2.399,41.985,0.952,0.498
18,DCT (Legacy),FHD,0.850,0.963,2.321,41.476,0.946,0.498
19,DCT (Legacy),FHD,0.900,0.959,2.353,40.996,0.940,0.498
20,DCT (Legacy),FHD,0.950,0.960,2.451,40.541,0.934,0.498
21,DCT (Legacy),FHD,1.000,0.959,2.542,40.109,0.927,0.498
22,DWT (Legacy),FHD,0.000,0.941,2.318,83.954,1.000,0.498
23,DWT (Legacy),FHD,0.050,0.944,2.106,65.081,1.000,0.498
24,DWT (Legacy),FHD,0.100,0.952,1.921,59.729,1.000,0.498
25,DWT (Legacy),FHD,0.150,0.953,1.983,56.361,0.999,0.498
26,DWT (Legacy),FHD,0.200,0.946,1.963,53.913,0.998,0.498
27,DWT (Legacy),FHD,0.250,0.952,2.030,52.018,0.997,0.498
28,DWT (Legacy),FHD,0.300,0.942,2.094,50.456,0.996,0.498
29,DWT (Legacy),FHD,0.350,0.946,2.349,49.126,0.995,0.498
30,DWT (Legacy),FHD,0.400,0.960,2.197,47.975,0.993,0.498
31,DWT (Legacy),FHD,0.450,0.941,2.088,46.959,0.992,0.498
32,DWT (Legacy),FHD,0.500,0.955,2.188,46.051,0.990,0.498
33,DWT (Legacy),FHD,0.550,0.957,2.104,45.230,0.988,0.498
34,DWT (Legacy),FHD,0.600,0.956,2.299,44.477,0.985,0.498
35,DWT (Legacy),FHD,0.650,0.955,2.347,43.783,0.983,0.498
36,DWT (Legacy),FHD,0.700,0.953,2.308,43.139,0.980,0.498
37,DWT (Legacy),FHD,0.750,0.957,2.344,42.543,0.978,0.498
38,DWT (Legacy),FHD,0.800,0.948,2.227,41.985,0.975,0.498
39,DWT (Legacy),FHD,0.850,0.957,2.067,41.458,0.972,0.498
40,DWT (Legacy),FHD,0.900,0.953,2.064,40.966,0.969,0.498
41,DWT (Legacy),FHD,0.950,0.957,1.818,40.502,0.965,0.498
