Algorithm,Attack Type,Parameter,BER,Recovered BER,PSNR (Attacked)
DCT(L),No Attack,0,0.000154321,0.4375,53.6548
DCT(L),Crop 50%,0.5,0.415401,0.4375,7.18824
DCT(L),Crop 70%,0.7,0.282191,0.4375,8.70113
DCT(L),Resize 50%,0.5,0.441389,0.4375,41.9721
DCT(L),Salt&Pepper 1%,0.01,0.241975,0.4375,25.5603
DCT(L),Salt&Pepper 5%,0.05,0.452901,0.4375,19.1265
DCT(L),Quantize (32 levels),32,0.367562,0.4375,35.9862
DCT(L),Gamma 0.8,0.8,0.316883,0.4375,25.3591
DCT(L),Brightness +0.2,0.2,0.000154321,0.4375,15.7801
DCT(L),Rotation 1 deg,1,0.505926,0.4375,21.8395
DCT(L),Rotation 5 deg,5,0.51679,0.4375,13.144
DCT(L),Rotation 45 deg,45,0.517099,0.4375,9.23215
DWT(L),No Attack,0,0.000277778,0.4375,53.9911
DWT(L),Crop 50%,0.5,0.387469,0.4375,7.18824
DWT(L),Crop 70%,0.7,0.265031,0.4375,8.70114
DWT(L),Resize 50%,0.5,0.517994,0.4375,42.0005
DWT(L),Salt&Pepper 1%,0.01,0.0237963,0.4375,25.5608
DWT(L),Salt&Pepper 5%,0.05,0.0903704,0.4375,19.1266
DWT(L),Quantize (32 levels),32,0.141914,0.4375,36.1002
DWT(L),Gamma 0.8,0.8,0.12321,0.4375,25.3585
DWT(L),Brightness +0.2,0.2,0.000277778,0.4375,15.7802
DWT(L),Rotation 1 deg,1,0.502191,0.4375,21.8395
DWT(L),Rotation 5 deg,5,0.512377,0.4375,13.1439
DWT(L),Rotation 45 deg,45,0.504259,0.4375,9.23215
SVD(S),No Attack,0,1.54321e-05,0,52.3662
SVD(S),Crop 50%,0.5,0.424468,0.5625,7.18823
SVD(S),Crop 70%,0.7,0.286165,0.234375,8.70111
SVD(S),Resize 50%,0.5,0.562492,0.5625,41.9502
SVD(S),Salt&Pepper 1%,0.01,0.0842284,0,25.558
SVD(S),Salt&Pepper 5%,0.05,0.278511,0,19.126
SVD(S),Quantize (32 levels),32,0.562461,0.5625,36.169
SVD(S),Gamma 0.8,0.8,0.562492,0.5625,25.3892
SVD(S),Brightness +0.2,0.2,0.4375,0.4375,15.7718
SVD(S),Rotation 1 deg,1,0.492299,0.34375,21.838
SVD(S),Rotation 5 deg,5,0.504167,0.546875,13.142
SVD(S),Rotation 45 deg,45,0.516798,0.5625,9.23125
SVD(I),No Attack,0,1.54321e-05,0,52.3705
SVD(I),Crop 50%,0.5,0.424468,0.5625,7.18823
SVD(I),Crop 70%,0.7,0.286165,0.234375,8.70111
SVD(I),Resize 50%,0.5,0.562492,0.5625,41.9501
SVD(I),Salt&Pepper 1%,0.01,0.0842284,0,25.558
SVD(I),Salt&Pepper 5%,0.05,0.278511,0,19.126
SVD(I),Quantize (32 levels),32,0.562461,0.5625,36.1683
SVD(I),Gamma 0.8,0.8,0.562492,0.5625,25.3895
SVD(I),Brightness +0.2,0.2,0.4375,0.4375,15.7719
SVD(I),Rotation 1 deg,1,0.492269,0.34375,21.838
SVD(I),Rotation 5 deg,5,0.504174,0.546875,13.142
SVD(I),Rotation 45 deg,45,0.516798,0.5625,9.23126
DFT(L),No Attack,0,0.462816,0.5625,67.6514
DFT(L),Crop 50%,0.5,0.51554,0.5625,7.18826
DFT(L),Crop 70%,0.7,0.51409,0.5625,8.7012
DFT(L),Resize 50%,0.5,0.50858,0.5625,42.2579
DFT(L),Salt&Pepper 1%,0.01,0.501049,0.5625,25.5667
DFT(L),Salt&Pepper 5%,0.05,0.500949,0.5625,19.1279
DFT(L),Quantize (32 levels),32,0.502917,0.5625,36.1368
DFT(L),Gamma 0.8,0.8,0.50027,0.5625,25.3644
DFT(L),Brightness +0.2,0.2,0.507986,0.5625,15.7806
DFT(L),Rotation 1 deg,1,0.503218,0.5625,21.8417
DFT(L),Rotation 5 deg,5,0.502616,0.5625,13.1438
DFT(L),Rotation 45 deg,45,0.507369,0.5625,9.23224
DCT(O),No Attack,0,0,0,52.6072
DCT(O),Crop 50%,0.5,0.374653,0,7.18824
DCT(O),Crop 70%,0.7,0.254159,0,8.70113
DCT(O),Resize 50%,0.5,0.501427,0.515625,41.7619
DCT(O),Salt&Pepper 1%,0.01,0.0822762,0,25.5585
DCT(O),Salt&Pepper 5%,0.05,0.267068,0,19.1261
DCT(O),Quantize (32 levels),32,0.162485,0,36.0687
DCT(O),Gamma 0.8,0.8,0,0,25.3566
DCT(O),Brightness +0.2,0.2,0,0,15.7802
DCT(O),Rotation 1 deg,1,0.492377,0.296875,21.8395
DCT(O),Rotation 5 deg,5,0.499213,0.453125,13.144
DCT(O),Rotation 45 deg,45,0.499267,0.484375,9.23216
DWT(O),No Attack,0,0,0,52.4943
DWT(O),Crop 50%,0.5,0.422083,0.5625,7.18823
DWT(O),Crop 70%,0.7,0.282917,0.234375,8.70113
DWT(O),Resize 50%,0.5,0.0754398,0,41.9397
DWT(O),Salt&Pepper 1%,0.01,0.0815046,0,25.5583
DWT(O),Salt&Pepper 5%,0.05,0.259475,0,19.1261
DWT(O),Quantize (32 levels),32,0.237585,0,36.0819
DWT(O),Gamma 0.8,0.8,0.0054321,0,25.3573
DWT(O),Brightness +0.2,0.2,0,0,15.7801
DWT(O),Rotation 1 deg,1,0.507539,0.5625,21.8395
DWT(O),Rotation 5 deg,5,0.526551,0.5625,13.1438
DWT(O),Rotation 45 deg,45,0.532716,0.5625,9.23211
DFT(O),No Attack,0,0,0,59.0877
DFT(O),Crop 50%,0.5,0.417022,0.5625,7.18826
DFT(O),Crop 70%,0.7,0.282014,0.21875,8.70119
DFT(O),Resize 50%,0.5,0.555563,0.5625,42.1208
DFT(O),Salt&Pepper 1%,0.01,0.071767,0,25.5651
DFT(O),Salt&Pepper 5%,0.05,0.241389,0.4375,19.1276
DFT(O),Quantize (32 levels),32,0.468218,0.328125,36.0721
DFT(O),Gamma 0.8,0.8,0.218596,0,25.3625
DFT(O),Brightness +0.2,0.2,0,0,15.7805
DFT(O),Rotation 1 deg,1,0.498326,0.46875,21.8415
DFT(O),Rotation 5 deg,5,0.492701,0.4375,13.1444
DFT(O),Rotation 45 deg,45,0.481127,0.4375,9.23228
